velbody	velleft	velright	Posbody	Posleft	Posright
1.826	0.127	0.043	1824.281	1899.339	1900.327
1.733	0.138	0.053	1822.291	1897.716	1899.233
1.644	0.129	0.061	1814.820	1897.850	1898.562
1.557	0.102	0.056	1809.108	1898.542	1898.047
1.453	0.063	0.037	1806.530	1898.425	1897.965
1.293	0.017	0.020	1804.505	1898.949	1898.553
1.079	-0.028	0.008	1804.722	1900.346	1899.209
0.841	-0.067	0.000	1809.043	1900.503	1899.477
0.609	-0.099	-0.002	1815.460	1899.402	1899.898
0.412	-0.122	0.003	1820.491	1898.642	1900.783
0.270	-0.136	0.011	1823.811	1898.245	1902.099
0.197	-0.140	0.013	1826.345	1898.521	1903.106
0.190	-0.134	0.006	1826.669	1899.231	1902.958
0.225	-0.116	-0.003	1824.204	1899.355	1902.324
0.278	-0.090	-0.011	1819.244	1899.195	1901.950
0.322	-0.066	-0.015	1812.113	1899.799	1901.929
0.333	-0.049	-0.013	1805.525	1900.770	1901.998
0.285	-0.036	-0.009	1802.531	1900.508	1902.412
0.173	-0.025	-0.002	1803.952	1899.622	1902.938
0.012	-0.013	0.008	1806.905	1899.444	1902.631
-0.168	-0.000	0.019	1807.636	1898.714	1901.987
-0.322	0.013	0.024	1807.399	1897.704	1901.685
-0.439	0.024	0.022	1807.916	1898.012	1901.474
-0.532	0.030	0.011	1805.748	1898.254	1900.889
-0.612	0.030	-0.006	1798.440	1898.063	1900.210
-0.687	0.025	-0.022	1790.598	1898.697	1900.093
-0.780	0.016	-0.032	1786.933	1900.288	1900.252
-0.926	0.003	-0.039	1785.254	1901.897	1900.063
-1.127	-0.013	-0.038	1786.055	1902.491	1900.041
-1.345	-0.027	-0.022	1791.663	1902.391	1901.163
-1.546	-0.039	0.007	1797.261	1902.024	1902.877
-1.697	-0.045	0.040	1800.005	1901.106	1903.538
-1.782	-0.041	0.069	1801.409	1899.427	1902.819
-1.802	-0.025	0.090	1801.325	1898.496	1902.544
-1.770	-0.002	0.099	1800.515	1900.281	1903.116
-1.714	0.017	0.093	1800.724	1903.012	1903.136
-1.649	0.031	0.082	1799.807	1903.935	1903.006
-1.581	0.045	0.088	1797.185	1903.019	1902.944
-1.519	0.059	0.113	1795.624	1901.663	1902.306
-1.472	0.071	0.140	1792.935	1900.610	1901.693
-1.442	0.079	0.161	1789.029	1899.933	1901.827
-1.431	0.080	0.168	1788.583	1900.242	1902.306
-1.437	0.076	0.162	1793.072	1901.360	1901.686
-1.460	0.073	0.151	1801.020	1902.481	1899.895
-1.473	0.068	0.142	1808.523	1902.488	1899.113
-1.428	0.054	0.142	1813.779	1901.152	1899.720
-1.306	0.031	0.149	1818.399	1900.465	1900.114
-1.115	0.005	0.152	1819.553	1900.857	1900.481
-0.873	-0.017	0.148	1813.987	1900.893	1900.593
-0.608	-0.034	0.139	1802.159	1900.006	1899.391
-0.367	-0.048	0.129	1785.510	1898.138	1898.064
-0.217	-0.063	0.114	1770.511	1896.871	1897.996
-0.204	-0.083	0.093	1763.303	1897.745	1898.741
-0.355	-0.108	0.057	1761.826	1899.965	1899.626
-0.640	-0.134	0.016	1761.905	1901.623	1901.291
-0.975	-0.151	-0.011	1763.152	1902.056	1903.142
-1.306	-0.153	-0.019	1769.754	1904.177	1903.451
-1.601	-0.136	-0.013	1786.846	1909.348	1902.905
-1.815	-0.105	0.013	1812.919	1912.994	1903.069
-1.890	-0.073	0.071	1841.955	1909.220	1904.149
-1.762	-0.043	0.154	1867.201	1895.628	1904.758
-1.361	-0.011	0.237	1880.020	1874.117	1902.932
-0.698	0.022	0.259	1878.366	1849.718	1899.783
0.148	0.048	0.123	1868.941	1827.614	1899.456
1.054	0.060	-0.221	1855.335	1809.173	1903.708
1.862	0.065	-0.742	1835.634	1792.170	1909.046
2.498	0.082	-1.352	1808.853	1776.513	1911.657
2.926	0.128	-2.019	1777.341	1763.854	1913.318
3.067	0.209	-2.774	1745.086	1753.413	1915.545
2.880	0.320	-3.610	1714.292	1743.958	1914.870
2.348	0.447	-4.486	1686.374	1735.896	1910.333
1.493	0.567	-5.371	1664.007	1730.247	1905.063
0.369	0.654	-6.242	1647.360	1727.306	1901.993
-0.953	0.694	-7.074	1634.298	1726.919	1899.513
-2.388	0.680	-7.840	1625.506	1728.946	1894.210
-3.860	0.617	-8.515	1622.376	1731.868	1886.107
-5.308	0.510	-9.075	1622.145	1734.859	1871.900
-6.673	0.345	-9.507	1621.462	1741.065	1851.208
-7.903	0.086	-9.810	1621.123	1751.794	1832.748
-8.976	-0.277	-9.990	1623.038	1763.473	1820.487
-9.898	-0.773	-10.024	1626.627	1773.607	1810.016
-10.666	-1.470	-9.862	1630.557	1780.834	1797.981
-11.276	-2.343	-9.509	1634.678	1784.277	1786.012
-11.722	-3.284	-9.020	1639.861	1784.838	1777.839
-12.006	-4.235	-8.447	1645.668	1782.830	1775.833
-12.138	-5.183	-7.843	1649.985	1780.369	1777.926
-12.130	-6.089	-7.245	1652.011	1780.049	1778.588
-12.006	-6.892	-6.675	1651.733	1781.579	1774.286
-11.801	-7.567	-6.134	1648.665	1780.935	1766.149
-11.545	-8.143	-5.615	1643.465	1774.164	1758.025
-11.259	-8.664	-5.113	1639.151	1765.832	1753.779
-10.967	-9.152	-4.653	1638.297	1761.231	1754.104
-10.688	-9.608	-4.279	1640.289	1759.069	1757.185
-10.431	-10.032	-4.007	1641.553	1757.686	1759.769
-10.179	-10.398	-3.819	1640.094	1756.461	1759.823
-9.897	-10.657	-3.686	1637.929	1754.227	1758.922
-9.573	-10.791	-3.593	1636.030	1752.052	1756.518
-9.224	-10.827	-3.532	1633.937	1751.348	1752.201
-8.879	-10.801	-3.494	1631.858	1752.180	1748.654
-8.549	-10.741	-3.464	1629.422	1754.199	1748.291
-8.230	-10.663	-3.425	1625.903	1755.859	1750.014
-7.923	-10.564	-3.363	1622.115	1755.904	1749.337
-7.631	-10.422	-3.278	1619.724	1753.828	1746.340
-7.351	-10.235	-3.177	1619.424	1752.242	1745.729
-7.078	-10.016	-3.073	1620.253	1753.418	1748.245
-6.809	-9.778	-2.978	1620.342	1755.346	1751.155
-6.539	-9.517	-2.887	1619.131	1756.031	1753.517
-6.260	-9.208	-2.781	1617.226	1755.314	1755.045
-5.968	-8.847	-2.651	1614.966	1754.302	1755.445
-5.675	-8.441	-2.507	1612.364	1753.665	1755.006
-5.398	-8.010	-2.364	1609.858	1752.540	1754.194
-5.138	-7.572	-2.226	1607.638	1751.044	1752.966
-4.894	-7.141	-2.096	1606.151	1751.127	1751.353
-4.671	-6.724	-1.980	1605.298	1751.339	1748.887
-4.469	-6.326	-1.875	1603.385	1748.378	1744.295
-4.279	-5.953	-1.773	1600.258	1743.939	1739.549
-4.101	-5.617	-1.681	1596.997	1739.997	1737.592
-3.944	-5.330	-1.621	1594.030	1735.916	1737.815
-3.811	-5.085	-1.602	1591.543	1733.858	1738.329
-3.705	-4.858	-1.622	1589.925	1734.929	1738.033
-3.622	-4.633	-1.666	1589.391	1736.141	1735.114
-3.553	-4.407	-1.712	1589.449	1736.570	1729.254
-3.489	-4.190	-1.746	1589.461	1737.910	1723.612
-3.420	-4.010	-1.759	1588.570	1739.512	1720.540
-3.341	-3.877	-1.750	1586.515	1739.120	1719.935
-3.256	-3.786	-1.716	1584.505	1737.910	1720.582
-3.170	-3.720	-1.665	1583.113	1737.566	1718.899
-3.094	-3.653	-1.612	1581.977	1737.764	1713.527
-3.030	-3.581	-1.563	1580.957	1739.069	1709.209
-2.971	-3.527	-1.513	1579.287	1741.826	1709.620
-2.917	-3.494	-1.454	1575.987	1744.469	1710.452
-2.866	-3.472	-1.375	1571.510	1745.524	1706.949
-2.820	-3.454	-1.273	1567.467	1743.892	1702.978
-2.791	-3.446	-1.153	1564.862	1738.695	1701.084
-2.805	-3.452	-1.024	1563.196	1730.598	1699.579
-2.859	-3.472	-0.913	1561.300	1721.462	1699.510
-2.926	-3.494	-0.863	1557.356	1712.232	1700.902
-2.997	-3.507	-0.899	1550.655	1702.758	1701.043
-3.075	-3.498	-1.012	1545.964	1697.272	1701.330
-3.163	-3.467	-1.171	1547.896	1698.954	1705.321
-3.243	-3.413	-1.333	1553.491	1705.088	1711.383
-3.295	-3.326	-1.471	1556.961	1710.391	1716.388
-3.300	-3.195	-1.562	1556.446	1709.855	1720.093
-3.242	-3.005	-1.581	1553.674	1702.943	1723.040
-3.137	-2.759	-1.550	1550.481	1691.234	1720.948
-3.026	-2.478	-1.530	1548.220	1678.135	1710.027
-2.928	-2.173	-1.546	1547.139	1668.189	1694.950
-2.847	-1.899	-1.634	1546.646	1668.903	1687.280
-2.783	-1.726	-1.815	1548.283	1685.081	1696.088
-2.717	-1.612	-1.992	1552.883	1707.560	1714.420
-2.632	-1.460	-2.057	1557.517	1724.188	1730.151
