LeftX	RightX	Torso	LeftY	RightY
0.013	-0.001	1502.530	0.682	-0.246
0.013	-0.001	1502.530	0.682	-0.246
0.013	-0.001	1502.530	0.682	-0.246
0.013	-0.001	1502.530	0.682	-0.246
0.013	0.006	1502.530	0.688	-0.153
0.013	0.006	1502.530	0.688	-0.153
0.013	0.006	1502.530	0.688	-0.153
0.013	0.006	1502.530	0.688	-0.153
0.013	0.012	1502.530	0.696	-0.069
0.013	0.012	1502.530	0.696	-0.069
0.013	0.012	1502.530	0.696	-0.069
0.013	0.012	1502.530	0.696	-0.069
0.013	0.014	1502.530	0.697	-0.052
0.013	0.014	1502.530	0.697	-0.052
0.013	0.014	1502.530	0.697	-0.052
0.013	0.014	1502.530	0.697	-0.052
0.013	0.016	1502.530	0.700	-0.007
0.013	0.016	1502.530	0.700	-0.007
0.013	0.016	1502.530	0.700	-0.007
0.013	0.016	1502.530	0.700	-0.007
0.012	0.020	1502.530	0.704	0.033
0.012	0.020	1502.530	0.704	0.033
0.012	0.020	1502.530	0.704	0.033
0.012	0.020	1502.530	0.704	0.033
0.012	0.020	1502.530	0.704	0.033
0.011	0.022	1502.530	0.705	0.040
0.011	0.022	1502.530	0.705	0.040
0.011	0.022	1502.530	0.705	0.040
0.011	0.022	1502.530	0.705	0.040
0.011	0.022	1502.530	0.705	0.040
0.011	0.022	1502.530	0.705	0.037
0.011	0.022	1502.530	0.705	0.037
0.011	0.022	1502.530	0.705	0.037
0.011	0.022	1502.530	0.705	0.037
0.011	0.022	1502.530	0.705	0.037
0.011	0.022	1502.530	0.705	0.035
0.011	0.022	1502.530	0.705	0.035
0.011	0.022	1502.530	0.705	0.035
0.011	0.022	1502.530	0.705	0.035
0.010	0.022	1502.530	0.704	0.025
0.010	0.022	1502.530	0.704	0.025
0.010	0.022	1502.530	0.704	0.025
0.010	0.022	1502.530	0.704	0.025
0.010	0.022	1502.530	0.704	0.025
0.010	0.022	1502.530	0.704	0.021
0.010	0.022	1502.530	0.704	0.021
0.010	0.022	1502.530	0.704	0.021
0.010	0.022	1502.530	0.704	0.021
0.010	0.021	1502.530	0.702	0.021
0.009	0.021	1502.530	0.701	0.000
0.009	0.021	1502.530	0.701	0.000
0.009	0.021	1502.530	0.701	0.000
0.009	0.021	1502.530	0.698	-0.015
0.009	0.021	1502.530	0.698	-0.015
0.009	0.021	1502.530	0.698	-0.015
0.009	0.020	1502.530	0.698	-0.015
0.009	0.019	1502.530	0.693	-0.035
0.009	0.019	1502.530	0.693	-0.035
0.009	0.019	1502.530	0.693	-0.035
0.009	0.019	1502.530	0.693	-0.035
0.008	0.019	1502.530	0.690	-0.044
0.008	0.019	1502.530	0.690	-0.044
0.008	0.019	1502.530	0.690	-0.044
0.008	0.019	1502.530	0.690	-0.044
0.008	0.018	1502.530	0.688	-0.052
0.008	0.018	1502.530	0.688	-0.052
0.008	0.018	1502.530	0.688	-0.052
0.008	0.018	1502.530	0.688	-0.052
0.008	0.018	1502.530	0.685	-0.060
0.008	0.018	1502.530	0.685	-0.060
0.008	0.018	1502.530	0.685	-0.060
0.008	0.018	1502.530	0.685	-0.060
0.008	0.018	1502.530	0.685	-0.060
0.007	0.017	1502.530	0.680	-0.069
0.007	0.017	1502.530	0.680	-0.069
0.007	0.017	1502.530	0.680	-0.069
0.007	0.017	1502.530	0.680	-0.069
0.006	0.016	1502.530	0.675	-0.078
0.006	0.016	1502.530	0.675	-0.078
0.006	0.016	1502.530	0.675	-0.078
0.006	0.016	1502.530	0.669	-0.085
0.006	0.016	1502.530	0.669	-0.085
0.006	0.016	1502.530	0.669	-0.085
0.006	0.016	1502.530	0.669	-0.085
