Left	Right	Torso
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1557.517
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1560.145
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
-0.053	-0.066	1561.164
